ticker,empresa,quantidade_teorica,participacao
ALOS3,ALLOS,476976044,0.427
ABEV3,AMBEV S/A,4394835131,2.824
ASAI3,ASSAI,1345832968,0.445
AURE3,AUREN,323738747,0.128
AMOB3,AUTOMOB,533959816,0.006
AZUL4,AZUL,326872005,0.063
AZZA3,AZZAS 2154,136643320,0.177
B3SA3,B3,5392540963,2.855
BBSE3,BBSEGURIDADE,637332335,1.24
BBDC3,BRADESCO,1484426957,0.787
BBDC4,BRADESCO,5129958973,2.955
BRAP4,BRADESPAR,250969312,0.212
BBAS3,BRASIL,2842613858,3.969
BRKM5,BRASKEM,265388400,0.142
BRAV3,BRAVA,460791208,0.383
BRFS3,BRF SA,814523002,0.764
BPAC11,BTGP BANCO,1287247964,2.067
CXSE3,CAIXA SEGURI,517500000,0.412
CRFB3,CARREFOUR BR,532664283,0.194
CCRO3,CCR SA,991920937,0.584
CMIG4,CEMIG,1858636840,1.043
COGN3,COGNA ON,1872454628,0.147
CPLE6,COPEL,1679233590,0.827
CSAN3,COSAN,1150987430,0.411
CPFE3,CPFL ENERGIA,187732538,0.334
CMIN3,CSNMINERACAO,1646519336,0.438
CVCB3,CVC BRASIL,525591097,0.046
CYRE3,CYRELA REALT,273755006,0.287
ELET3,ELETROBRAS,1977170723,3.802
ELET6,ELETROBRAS,268875696,0.562
EMBR3,EMBRAER,734631801,2.802
ENGI11,ENERGISA,326175300,0.62
ENEV3,ENEVA,1929556616,1.135
EGIE3,ENGIE BRASIL,255236938,0.476
EQTL3,EQUATORIAL,1253541010,1.872
FLRY3,FLEURY,455988366,0.261
GGBR4,GERDAU,1242683687,1.039
GOAU4,GERDAU MET,649238303,0.298
NTCO3,GRUPO NATURA,850935197,0.543
HAPV3,HAPVIDA,4779395040,0.512
HYPE3,HYPERA,370735677,0.365
IGTI11,IGUATEMI SA,211783588,0.186
IRBR3,IRBBRASIL RE,81838243,0.193
ISAE4,ISA ENERGIA,395801044,0.466
ITSA4,ITAUSA,5857796242,2.601
ITUB4,ITAUUNIBANCO,4792902422,7.809
JBSS3,JBS,1145962972,1.793
KLBN11,KLABIN S/A,765785673,0.755
RENT3,LOCALIZA,965986531,1.365
LREN3,LOJAS RENNER,1051120777,0.592
LWSA3,LWSA,389635155,0.052
MGLU3,MAGAZ LUIZA,353448195,0.129
POMO4,MARCOPOLO,666378439,0.249
MRFG3,MARFRIG,302019876,0.222
BEEF3,MINERVA,261359935,0.061
MRVE3,MRV,377241484,0.085
MULT3,MULTIPLAN,314150156,0.328
PCAR3,PACUCAR-CBD,462534972,0.058
PETR3,PETROBRAS,2255782178,4.225
PETR4,PETROBRAS,4431132660,7.714
RECV3,PETRORECSA,275170410,0.213
PRIO3,PETRORIO,779999989,1.466
PETZ3,PETZ,293689428,0.058
PSSA3,PORTO SEGURO,182560698,0.353
RADL3,RAIADROGASIL,1286616979,1.154
RAIZ4,RAIZEN,1198936529,0.103
RDOR3,REDE D OR,1145289019,1.554
RAIL3,RUMO SA,1216914397,1.069
SBSP3,SABESP,683508568,3.235
SANB11,SANTANDER BR,356586730,0.458
STBP3,SANTOS BRP,855712622,0.576
SMTO3,SAO MARTINHO,128130966,0.136
CSNA3,SID NACIONAL,727459637,0.311
SLCE3,SLC AGRICOLA,194261422,0.181
SUZB3,SUZANO SA,630821784,1.756
TAEE11,TAESA,218568234,0.364
VIVT3,TELEF BRASIL,382442128,0.937
TIMS3,TIM,807495418,0.663
TOTS3,TOTVS,540206440,0.943
UGPA3,ULTRAPAR,1090134379,0.877
USIM5,USIMINAS,515193199,0.152
VALE3,VALE,4270903023,11.939
VAMO3,VAMOS,485166826,0.09
VBBR3,VIBRA,1023538460,0.844
VIVA3,VIVARA SA,125446075,0.105
WEGE3,WEG,1243177587,2.979
YDUQ3,YDUQS PART,277677050,0.147
,,,
,,,
